fullvisitorid,channelgrouping,time,country,city,totaltransactionrevenue,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productquantity,productprice,productsku,v2productname,v2productcategory,productvariant,currencycode,transactionrevenue,transactionid,pagetitle,searchkeyword,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option
4.95E+18,Organic Search,424904,New Zealand,not available in demo dataset,NULL,NULL,424904,12,NULL,2017-05-20,1495263661,PAGE,NULL,17,GGOEGETR014599,Google Tube Power Bank,Home/Electronics/,(not set),USD,NULL,NULL,Electronics | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
6.81E+18,Direct,25255,Israel,Tel Aviv-Yafo,NULL,NULL,25255,4,NULL,2017-05-22,1495466817,PAGE,NULL,0,9182784,Google Women's Short Sleeve Hero Tee White,(not set),(not set),USD,NULL,NULL,"The Google Merchandise Store/7"" Dog Safe Flyer",NULL,/google+redesign/,0,1,NULL
3.03E+18,Organic Search,153290,United States,not available in demo dataset,NULL,NULL,153290,8,NULL,2017-05-23,1495591189,PAGE,NULL,21,GGOEGAAX0356,YouTube Men's Vintage Tank,Home/Shop by Brand/YouTube/,(not set),USD,NULL,NULL,YouTube | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
6.06E+18,Referral,239004,United States,Mountain View,NULL,NULL,239004,9,NULL,2017-06-30,1498857000,PAGE,NULL,2,GGOEGAAX0098,7&quot; Dog Frisbee,Home/Accessories/Pet/,(not set),USD,NULL,NULL,Pet | Accessories | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
8.43E+18,Display,527324,United States,not available in demo dataset,NULL,NULL,527324,6,NULL,2017-05-22,1495501279,PAGE,NULL,5,GGOEGBMJ013399,Sport Bag,Home/Bags/,(not set),USD,NULL,NULL,Bags | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
7.57E+18,Referral,0,United States,not available in demo dataset,NULL,NULL,0,8,21,2017-07-22,1500737366,PAGE,NULL,119,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Home/Nest/Nest-USA/,(not set),USD,NULL,NULL,Nest-USA,NULL,/google+redesign/,0,1,NULL
5.79E+16,Organic Search,0,United States,New York,NULL,NULL,0,5,1,2017-07-23,1500851637,PAGE,NULL,3,GGOEGFKQ020799,Google Doodle Decal,Home/Shop by Brand/Google/,(not set),USD,NULL,NULL,Google | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
7.50E+18,Organic Search,209931,United States,Sunnyvale,NULL,NULL,209931,8,NULL,2017-06-22,1498153164,PAGE,NULL,17,GGOEGAAX0104,Google Men's 100% Cotton Short Sleeve Hero Tee White,Home/Apparel/,(not set),USD,NULL,NULL,Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
9.67E+16,Organic Search,52234,United States,not available in demo dataset,NULL,NULL,52234,4,NULL,2017-05-24,1495645366,PAGE,NULL,70,GGOEGAAX0592,Google Men's Airflow 1/4 Zip Pullover Black,Home/Apparel/Men's/Men's-Outerwear/,(not set),USD,NULL,NULL,Men's Outerwear | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
2.79E+17,Organic Search,5408,Switzerland,not available in demo dataset,NULL,NULL,5408,8,NULL,2017-06-23,1498216225,PAGE,NULL,30,GGOEGAAX0351,YouTube Men's Vintage Henley,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,NULL,NULL,Men's T-Shirts | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
3.62E+18,Referral,276685,United States,New York,NULL,NULL,276685,16,NULL,2017-05-01,1493671145,PAGE,NULL,7,GGOEGAAX0168,Google Pet Feeding Mat,Home/Accessories/Pet/,(not set),USD,NULL,NULL,Pet | Accessories | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
3.77E+18,Organic Search,12723,Russia,not available in demo dataset,NULL,NULL,12723,9,NULL,2017-06-28,1498715642,PAGE,NULL,100,GGOEGBRJ037299,Google Alpine Style Backpack,Home/Bags/,(not set),USD,NULL,NULL,Bags | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
1.42E+18,Referral,134449,United States,San Francisco,NULL,NULL,134449,4,NULL,2017-06-21,1498085492,PAGE,NULL,5,GGOEGCBC074299,Google Device Stand,Home/Shop by Brand/Google/,(not set),USD,NULL,NULL,Google | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
6.28E+18,Organic Search,25661,Canada,Toronto,NULL,NULL,25661,13,NULL,2017-05-15,1494859789,PAGE,NULL,5,GGOEGBMJ013399,Sport Bag,Home/Bags/,(not set),USD,NULL,NULL,Bags | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
6.56E+18,Organic Search,33302,Vietnam,not available in demo dataset,NULL,NULL,33302,8,NULL,2017-06-25,1498401574,PAGE,NULL,19,GGOEGAAX0340,Google Men's Vintage Badge Tee Sage,Home/Apparel/Men's/,(not set),USD,NULL,NULL,Men's Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
8.28E+18,Referral,9484,United States,not available in demo dataset,NULL,NULL,9484,10,NULL,2017-05-01,1493662907,PAGE,NULL,11,GGOEAHPJ074410,Android Twill Cap,Home/Apparel/Headgear/,(not set),USD,NULL,NULL,Headgear | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
9.11E+18,Organic Search,0,Netherlands,not available in demo dataset,NULL,NULL,0,10,NULL,2017-05-07,1494158602,PAGE,NULL,5,GGOEGBMJ013399,Sport Bag,Home/Bags/,(not set),USD,NULL,NULL,Bags | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
6.51E+17,Referral,626070,United States,Sunnyvale,NULL,NULL,626070,10,NULL,2017-05-26,1495864566,PAGE,NULL,2,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Home/Shop by Brand/Google/,(not set),USD,NULL,NULL,Google | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
3.27E+18,Referral,173872,United States,San Francisco,NULL,NULL,173872,12,NULL,2017-06-23,1498258005,PAGE,NULL,35,GGOEGAAX0334,Android Men's Long Sleeve Badge Crew Tee Heather,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,NULL,NULL,Men's T-Shirts | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
3.34E+17,Organic Search,155834,United States,not available in demo dataset,NULL,NULL,155834,12,NULL,2017-06-21,1498062264,PAGE,NULL,2,GGOEAFKQ020499,8 pc Android Sticker Sheet,Home/Office/,(not set),USD,NULL,NULL,Office | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
1.72E+18,Organic Search,35498,United States,not available in demo dataset,NULL,NULL,35498,5,NULL,2017-06-12,1497329420,PAGE,NULL,60,GGOEGEHQ024099,Clip-on Compact Charger,Home/Electronics/,(not set),USD,NULL,NULL,Electronics | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
5.39E+17,Organic Search,21984,India,not available in demo dataset,NULL,NULL,21984,2,NULL,2017-06-14,1497443248,PAGE,NULL,30,GGOEGAAX0351,YouTube Men's Vintage Henley,Home/Apparel/Men's/,(not set),USD,NULL,NULL,Men's Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
6.05E+17,Direct,58102,Malaysia,Ipoh,NULL,NULL,58102,2,NULL,2017-06-26,1498483824,PAGE,NULL,4,GGOEGFAQ016699,Bottle Opener Clip,Home/Accessories/Housewares/,(not set),USD,NULL,NULL,Housewares | Accessories | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
7.24E+18,Organic Search,0,Germany,not available in demo dataset,NULL,NULL,0,1,NULL,2017-05-31,1496250328,PAGE,NULL,11,GGOEYHPB072210,YouTube Twill Cap,Home/Shop by Brand/YouTube/,(not set),USD,NULL,NULL,YouTube | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
7.74E+18,Direct,318422,China,not available in demo dataset,NULL,NULL,318422,4,NULL,2017-05-17,1495009293,PAGE,NULL,3,GGOEADHH055999,22 oz Android Bottle,Home/Shop by Brand/Android/,(not set),USD,NULL,NULL,Android | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
7.85E+18,Direct,158613,Costa Rica,not available in demo dataset,NULL,NULL,158613,9,NULL,2017-05-24,1495638323,PAGE,NULL,56,GGOEGETB023799,Google Power Bank,Home/Electronics/Power/,(not set),USD,NULL,NULL,Power & Chargers | Electronics | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
9.29E+18,Organic Search,0,United States,not available in demo dataset,NULL,NULL,0,1,1,2017-07-05,1499286723,PAGE,NULL,30,GGOEGAAX0351,YouTube Men's Vintage Henley,Home/Shop by Brand/YouTube/,(not set),USD,NULL,NULL,YouTube | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
8.29E+18,Direct,120356,United States,not available in demo dataset,NULL,NULL,120356,2,1,2017-07-22,1500767831,PAGE,NULL,19,GGOEGAAX0296,YouTube Women's Short Sleeve Tri-blend Badge Tee Grey,(not set),(not set),USD,NULL,NULL,Store search results,NULL,/asearch.html,0,1,NULL
7.27E+18,Organic Search,0,France,not available in demo dataset,NULL,NULL,0,1,NULL,2017-07-03,1499100333,PAGE,NULL,2,GGOEGFKA022299,Keyboard DOT Sticker,Home/Accessories/Stickers/,(not set),USD,NULL,NULL,Stickers | Accessories | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
